expenditure_date,expenditure_year,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue...9,purpose,purpose_cleaned,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue...21,position
4/11/2021,2021,NA,NA,Blue Bonnet Rest,60.03,Denver County Republican Central Committee PAC,NA,NA,NA,promotional,Marketing and advertising,S.Broadway,NA,Denver,CO,'80202',No,No,No,NA,NA,NA
4/8/2021,2021,NA,NA,Minuteman Press,31.25,Safe and Sound Denver,NA,NA,NA,Name Tags,Supplies,1459 S. Holly Street,NA,Denver,CO,'80222',No,No,No,NA,NA,NA
4/6/2021,2021,NA,NA,Amazon,59.78,Peoples Climate Campaign,NA,NA,NA,Paper,Supplies,1200 17th Street,NA,Denver,CO,'80202',No,No,No,NA,NA,NA
4/2/2021,2021,NA,NA,Egg  & I,18.21,Denver County Republican Central Committee PAC,NA,NA,NA,promotional,Supplies,Leetsdale and Holly,NA,Denver,CO,'80246',No,No,No,NA,NA,NA
3/25/2021,2021,NA,NA,"EOS Advisors, LLC",250,Safe and Sound Denver,NA,NA,NA,Denver Voter Registration List,Supplies,"6343 E. Girard Place, #466",NA,Denver,CO,'80222',No,No,No,NA,NA,NA
3/11/2021,2021,NA,NA,Pizza hUT,59.37,Denver County Republican Central Committee PAC,NA,NA,NA,promotional,Supplies,unknown,NA,Denver,CO,'80222',No,No,No,NA,NA,NA
3/1/2021,2021,NA,NA,Office Depot,41.48,Waste No More,NA,NA,NA,Paper,Supplies,895 W Hampden Ave,NA,Englewood,CO,'80110',No,No,No,NA,NA,NA
3/1/2021,2021,NA,NA,Donahue Paper Emporium,13.16,Waste No More,NA,NA,NA,Paper,Supplies,7286 South Yosemite St,NA,Centennial,CO,'80112',No,No,No,NA,NA,NA
3/1/2021,2021,NA,NA,Office Max,41.47,Peoples Climate Campaign,NA,NA,NA,Paper,Supplies,895 W Hampden Ave,NA,Englewood,CO,'80110',No,No,No,NA,NA,NA
3/1/2021,2021,NA,NA,Donahue Paper Emporium,13.16,Peoples Climate Campaign,NA,NA,NA,Paper,Supplies,7286 South Yosemite St,NA,Centennial,CO,'80110',No,No,No,NA,NA,NA
2/4/2021,2021,NA,NA,Rocky Mountain Land Use Institute - Annual Conference,25,Nevitt for Auditor,Auditor,NA,NA,Education,Research,2255 East Evans Ave.,NA,Denver,CO,'80208',No,No,No,Chris Nevitt,NA,NA
12/31/2020,2020,NA,NA,Wells Fargo Business,0,CPA for Denver,NA,NA,NA,No credits or Debits needed,Unitemized Expenditure,P.O. Box 6995,NA,Portland,OR,'97228',No,No,No,NA,NA,NA
12/16/2020,2020,NA,NA,USPS,148,Committee to Elect Stacie Gilmore,City Council,11,NA,PO Box Renewal,Supplies,4710 Nome Street,NA,Denver,CO,'80239',No,No,No,Stacie Gilmore,NA,NA
11/18/2020,2020,NA,NA,One Accord Movement Ministry,500,Denver Makes A Difference,NA,NA,NA,GOTV,Marketing and advertising,"2323 E 26th Ave, Unit D",NA,Denver,CO,'80205',No,No,No,NA,NA,NA
11/18/2020,2020,NA,NA,One Accord Movement Ministry,500,Denver Makes A Difference,NA,NA,NA,GOTV,Marketing and advertising,"2323 E 26th Ave, Unit D",NA,Denver,CO,'80205',No,No,No,NA,NA,NA
11/17/2020,2020,NA,NA,USPS,196,Kniech for Council At-Large,City Council At-Large,NA,NA,PO Box Renewal,Supplies,3700 Tennyson St,NA,Denver,CO,'80212',No,No,No,Robin Kniech,NA,NA
10/29/2020,2020,NA,NA,NAACP Denver,1000,Denver Makes A Difference,NA,NA,NA,GOTV Efforts,Marketing and advertising,PO Box 5705,NA,Denver,CO,'80217',No,No,No,NA,NA,NA
10/28/2020,2020,NA,NA,NAACP Denver,1000,Yes on 2A: Climate Action Now,NA,NA,NA,GOTV,Marketing and advertising,PO Box 5705,NA,Denver,CO,'80217',No,No,No,NA,NA,NA
10/5/2020,2020,NA,NA,Spencer McCullough,119.4,Denver Internet Initiative,NA,NA,NA,Canva,Online expense,891 S University Blvd,NA,Denver,CO,'80209',No,No,No,NA,NA,NA
10/2/2020,2020,NA,NA,MICROSOFT 1954,104.3,Sawyer for Denver City Council,City Council,5,NA,office,Supplies,One Microsoft Way ,NA,Redmond,WA,'98052',No,No,No,Amanda Sawyer,NA,NA
8/31/2020,2020,NA,NA,Domo Restaurant,100,Ortega at Large,City Council At-Large,NA,NA,Dinner recognition,Event,1365 Osage St,NA,Denver,CO,'80204',No,No,No,Deborah Ortega,NA,NA
7/13/2020,2020,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Online storage,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
6/26/2020,2020,NA,NA,USPS,80,Jolon Clark for Denver,City Council,7,NA,Post Office Box,Supplies,225 S. Broadway,NA,Denver,CO,'80209',No,No,No,Jolon Clark,NA,NA
6/15/2020,2020,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Online storage,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
5/13/2020,2020,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Online storage,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
4/13/2020,2020,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Online storage,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
3/13/2020,2020,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Online storage,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
2/13/2020,2020,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Online Storage,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
2/7/2020,2020,NA,NA,Urban Land Institute,240,Nevitt for Auditor,Auditor,NA,NA,Education,Research,2001 L Street NW #200,NA,Washington,DC,'20036',No,No,No,Chris Nevitt,NA,NA
1/13/2020,2020,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Online Storage,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
12/31/2019,2019,NA,NA,Chris for Denver,2264.64,Chris for Denver,City Council,10,NA,Salaries and closing account,Staffing,PO Box 18423,NA,Denver,CO,'80218',No,No,No,Chris Hinds,NA,NA
12/16/2019,2019,NA,NA,USPS,134,Committee to Elect Stacie Gilmore,City Council,11,NA,PO Box Renewal,Supplies,4710 Nome Street,NA,Denver,CO,'80239',No,No,No,Stacie Gilmore,NA,NA
12/13/2019,2019,NA,NA,Sarah O. McCarthy,50,McCarthy for Denver Clerk,Clerk and Recorder,NA,NA,reimburse post office box,Supplies,374 S Clarkson St,NA,Denver,CO,'80209',No,No,No,Sarah McCarthy,NA,NA
11/16/2019,2019,NA,NA,USPS,176,Kniech for Council At-Large,City Council At-Large,NA,NA,PO Box,Supplies,3700 Tennyson St,NA,Denver,CO,'80212',No,No,No,Robin Kniech,NA,NA
10/15/2019,2019,NA,NA,Urban Land Institute,80,Nevitt for Auditor,Auditor,NA,NA,Continuing Education,Research,2001 L Street NW #200,NA,Washington,DC,'20036',No,No,No,Chris Nevitt,NA,NA
9/18/2019,2019,NA,NA,APA Colorado,686.17,Nevitt for Auditor,Auditor,NA,NA,Continuing Education,Research,PO Box 49573,NA,Colorado Springs,CO,'80949',No,No,No,Chris Nevitt,NA,NA
9/16/2019,2019,NA,NA,"Apple, Inc",41.16,Jolon Clark for Denver,City Council,7,NA,Technology,Supplies,3000 E 1st Ave,NA,Denver,CO,'80206',No,No,No,Jolon Clark,NA,NA
9/16/2019,2019,NA,NA,"Apple, Inc",2788.44,Jolon Clark for Denver,City Council,7,NA,Technology,Supplies,3000 E 1st Ave,NA,Denver,CO,'80206',No,No,No,Jolon Clark,NA,NA
9/16/2019,2019,NA,NA,"Apple, Inc",2788.44,Jolon Clark for Denver,City Council,7,NA,Technology,Supplies,3000 E 1st Ave,NA,Denver,CO,'80206',No,No,No,Jolon Clark,NA,NA
9/11/2019,2019,NA,NA,"Apple, Inc",379,Jolon Clark for Denver,City Council,7,NA,Technology,Supplies,3000 E 1st Ave,NA,Denver,CO,'80206',No,No,No,Jolon Clark,NA,NA
8/27/2019,2019,NA,NA,Bridgette Farmer,205,Ortega at Large,City Council At-Large,NA,NA,Charity,Donation,PO Box 244,NA,Elkhart,KS,'67950',No,No,No,Deborah Ortega,NA,NA
8/16/2019,2019,NA,NA,USPS,35,Susman for City Council,City Council,5,NA,PO Box Renewal,Supplies,8275 E 11th Ave,NA,Denver,CO,'80220',No,No,No,Mary Beth Susman,NA,NA
8/1/2019,2019,NA,NA,Chris for Denver,6552,Chris for Denver,City Council,10,NA,Salaries,Staffing,PO Box 18423,NA,Denver,CO,'80218',No,No,No,Chris Hinds,NA,NA
7/16/2019,2019,NA,NA,Stories Not Forgotten,1900,Jamie For Denver,Mayor,NA,NA,Media,Marketing and advertising,985 W 101st Pl,NA,Northglenn,CO,'80206',No,No,No,Jamie Giellis,NA,NA
7/1/2019,2019,NA,NA,Chris for Denver,5000,Chris for Denver,City Council,10,NA,Salaries,Staffing,PO Box 18423,NA,Denver,CO,'80218',No,No,No,Chris Hinds,NA,NA
7/1/2019,2019,NA,NA,USPS,70,Jolon Clark for Denver,City Council,7,NA,Post Office Box,Supplies,225 S. Broadway,NA,Denver,CO,'80209',No,No,No,Jolon Clark,NA,NA
6/28/2019,2019,NA,NA,Brian Courtney,5000,Chris for Denver,City Council,10,NA,Salaries,Staffing,795 Fairfax St,NA,Denver,CO,'80206',No,No,No,Chris Hinds,NA,NA
6/20/2019,2019,NA,NA,Jotform,19,Candi for Council,City Council,9,NA,online forms,Online expense,111 Pine St. Suite 1815,NA,San Francisco,CA,'94111',No,No,No,Candi CdeBaca,NA,NA
6/19/2019,2019,NA,NA,Elisabeth Epps,400,Candi for Council,City Council,9,NA,field work,Staffing,PO Box 6271,NA,Denver,CO,'80206',No,No,No,Candi CdeBaca,NA,NA
6/18/2019,2019,NA,NA,Katiana Hutchinson,165,Candi for Council,City Council,9,NA,field work,Staffing,4755 Shawnee Pl.,NA,Boulder,CO,'80303',No,No,No,Candi CdeBaca,NA,NA
6/17/2019,2019,NA,NA,Campaign Products of the Rockies,400,Wayne New for City Council,City Council,10,NA,Office and Comminication Expense,Supplies,PO Box 13365,NA,Denver,CO,'80201',No,No,No,Wayne New,NA,NA
6/14/2019,2019,NA,NA,Tyler McDermott,1657.5,Candi for Council,City Council,9,NA,field - being awesome,Staffing,1252 Corona St. Apt. 6,NA,Denver,CO,'80218',No,No,No,Candi CdeBaca,NA,NA
6/14/2019,2019,NA,NA,Sid Farber,960,Candi for Council,City Council,9,NA,field work,Staffing,1998 S Columbine ST. #410,NA,Denver,CO,'80210',No,No,No,Candi CdeBaca,NA,NA
6/12/2019,2019,NA,NA,Robert Valenquez,1935,Candi for Council,City Council,9,NA,field work,Staffing,14001 E 25th pl,NA,Aurora,CO,'80011',No,No,No,Candi CdeBaca,NA,NA
6/11/2019,2019,NA,NA,Vincent Chandler,285,Candi for Council,City Council,9,NA,field work,Staffing,1026 Adams St.,NA,Denver,CO,'80206',No,No,No,Candi CdeBaca,NA,NA
6/8/2019,2019,NA,NA,OfficeMax,168.94,Lopez for Denver,Clerk and Recorder,NA,NA,Office Sup[plies,Supplies,343 S. Broadway,NA,Denver,CO,'80209',No,No,No,Paul López,NA,NA
6/8/2019,2019,NA,NA,OfficeMax,9.52,Lopez for Denver,Clerk and Recorder,NA,NA,Office Sup[plies,Supplies,343 S. Broadway,NA,Denver,CO,'80209',No,No,No,Paul López,NA,NA
6/7/2019,2019,NA,NA,Joe Zemek,585,Candi for Council,City Council,9,NA,May field work,Staffing,5425 Lowell Blvd,NA,Denver,CO,'80221',No,No,No,Candi CdeBaca,NA,NA
6/6/2019,2019,NA,NA,Quickbooks,36.51,Tony for Denver,City Council,10,NA,bookkeeping,Staffing,2632 Marine Way,NA,Mountain View,CA,'94043',No,No,No,Tony Smith,NA,NA
6/4/2019,2019,NA,NA,Chris for Denver,6552,Chris for Denver,City Council,10,NA,Salaries,Staffing,PO Box 18423,NA,Denver,CO,'80218',No,No,No,Chris Hinds,NA,NA
6/4/2019,2019,NA,NA,Legacy Independent Expenditure,100300,Rise Up Denver,Mayor,NA,NA,TV Commercial to Oppose Jamie Giellis,Marketing and advertising,NA,NA,NA,NA,NA,No,Yes,Yes,Jamie Giellis,NA,Oppose
6/4/2019,2019,NA,NA,Legacy Independent Expenditure,40000,Rise Up Denver,Mayor,NA,NA,TV Commercial to Oppose Jamie Giellis,Marketing and advertising,NA,NA,NA,NA,NA,No,Yes,Yes,Jamie Giellis,NA,Oppose
6/4/2019,2019,NA,NA,Legacy Independent Expenditure,34975,Rise Up Denver,Mayor,NA,NA,TV Commercial to Oppose Jamie Giellis,Marketing and advertising,NA,NA,NA,NA,NA,No,Yes,Yes,Jamie Giellis,NA,Oppose
6/2/2019,2019,NA,NA,Office Depot,64.39,Let Denver Vote,NA,NA,NA,GOTV materials,Supplies,1585 Wynkoop St,NA,Denver,CO,'80202',No,No,No,NA,NA,NA
5/31/2019,2019,NA,NA,Leroy Lemos,3700,Amanda Sandoval for Council,City Council,1,NA,GOTV,Supplies,1364 Xavier,NA,Denver,CO,'80204',No,No,No,Amanda Sandoval,NA,NA
5/31/2019,2019,NA,NA,Landslide Political,4000,Friends of District 9,NA,NA,NA,Field,Supplies,825 N 300 W #N138,NA,Salt Lake City,UT,'84103',No,No,No,NA,NA,NA
5/30/2019,2019,NA,NA,Meredith Phillips,450,Candi for Council,City Council,9,NA,operations & field work,Supplies,14006 E. Stanford Cir. #K6,NA,Aurora,CO,'80015',No,No,No,Candi CdeBaca,NA,NA
5/30/2019,2019,NA,NA,Office Depot,17.15,Candi for Council,City Council,9,NA,paper,Supplies,1595 Wynkoop,NA,Denver,CO,'80202',No,No,No,Candi CdeBaca,NA,NA
5/30/2019,2019,NA,NA,Hulsen Media,10000,Jamie For Denver,Mayor,NA,NA,Media,Supplies,2400 Laramie Trail,NA,Austin,TX,'78745',No,No,No,Jamie Giellis,NA,NA
5/29/2019,2019,NA,NA,Landslide Political,8000,Friends of District 9,NA,NA,NA,Field,Staffing,825 N 300 W #N138,NA,Salt Lake City,UT,'84103',No,No,No,NA,NA,NA
5/28/2019,2019,NA,NA,Landslide Political,22000,Neighbors and Friends For Mary Beth Susman,NA,NA,NA,Field,Staffing,825 N 300 W #N138,NA,Salt Lake City,UT,'84103',No,No,No,NA,NA,NA
5/28/2019,2019,NA,NA,Landslide Political,10000,Neighbors and Friends For Mary Beth Susman,NA,NA,NA,Field,Staffing,825 N 300 W #N138,NA,Salt Lake City,UT,'84103',No,No,No,NA,NA,NA
5/28/2019,2019,NA,NA,Hulsen Media,50000,Jamie For Denver,Mayor,NA,NA,Media,Marketing and advertising,2400 Laramie Trail,NA,Austin,TX,'78745',No,No,No,Jamie Giellis,NA,NA
5/28/2019,2019,NA,NA,BlueWest Media,110000,Hancock for Denver,Mayor,NA,NA,Media Placement,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,Michael Hancock,NA,NA
5/28/2019,2019,NA,NA,Sureveymonkey,37,Denver Psilocybin Initiative,NA,NA,NA,Survey,Research,One Curiosity Way,NA,San Mateo,CA,'94403',No,No,No,NA,NA,NA
5/28/2019,2019,NA,NA,Atlas Real Estate (Archipelago Clubs),100,Denver Psilocybin Initiative,NA,NA,NA,Office Space,Supplies,2345 7th St,NA,Denver,CO,'80211',No,No,No,NA,NA,NA
5/24/2019,2019,NA,NA,Brian Courtney,2890.32,Chris for Denver,City Council,10,NA,Salaries,Staffing,795 Fairfax St,NA,Denver,CO,'80206',No,No,No,Chris Hinds,NA,NA
5/23/2019,2019,NA,NA,Landslide Political,6300,Amanda Sandoval for Council,City Council,1,NA,GOTV,Marketing and advertising,825 N. 300 W #N138,NA,Salt Lake City,CO,'84103',No,No,No,Amanda Sandoval,NA,NA
5/23/2019,2019,NA,NA,Landslide Political,6000,Neighbors and Friends For Mary Beth Susman,NA,NA,NA,Field,Staffing,825 N 300 W #N138,NA,Salt Lake City,UT,'84103',No,No,No,NA,NA,NA
5/23/2019,2019,NA,NA,Elijah Segura,135,Better Denver,NA,NA,NA,Canvas,Online expense,7601 Acoma Ct,NA,Denver,CO,'80221',No,No,No,NA,NA,NA
5/22/2019,2019,NA,NA,Jotform,19,Candi for Council,City Council,9,NA,online forms,Online expense,111 Pine St. Suite 1815,NA,San Francisco,CA,'94111',No,No,No,Candi CdeBaca,NA,NA
5/22/2019,2019,NA,NA,BlueWest Media,75000,Hancock for Denver,Mayor,NA,NA,Media Placement,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,Michael Hancock,NA,NA
5/21/2019,2019,NA,NA,Leroy Lemos,5000,Amanda Sandoval for Council,City Council,1,NA,GOTV,Marketing and advertising,1364 Xavier,NA,Denver,CO,'80204',No,No,No,Amanda Sandoval,NA,NA
5/20/2019,2019,NA,NA,Landslide Political,6000,Neighbors and Friends For Mary Beth Susman,NA,NA,NA,Field,Staffing,825 N 300 W #N138,NA,Salt Lake City,UT,'84103',No,No,No,NA,NA,NA
5/18/2019,2019,NA,NA,C&D Printing,1043.31,Jamie Torres for Council,City Council,3,NA,campaign materials,Supplies,5351 Tennyson St. Unit 1-C,NA,Denver,CO,'80212',No,No,No,Jamie Torres,NA,NA
5/17/2019,2019,NA,NA,BlueWest Media,100000,Hancock for Denver,Mayor,NA,NA,Media Placement,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,Michael Hancock,NA,NA
5/16/2019,2019,NA,NA,Terrell Curtis,300,Kniech for Council At-Large,City Council At-Large,NA,NA,Field Coordinator,Staffing,2961 Bellaire,NA,Denver,CO,'80207',No,No,No,Robin Kniech,NA,NA
5/15/2019,2019,NA,NA,Keating Research,9000,Albus Brooks for City Council,City Council,9,NA,polling,Staffing,308 Adams Ranch Rd #24,NA,Mountain Village,CO,'81435',No,No,No,Albus Brooks,NA,NA
5/15/2019,2019,NA,NA,Office Depot,51,Committee To Elect Chairman Seku,Mayor,NA,NA,Copies,Supplies,7305 East 36th Ave Suite 1,NA,Denver,CO,'80238',No,No,No,Stephan  Evans,NA,NA
5/14/2019,2019,NA,NA,Danielle Grogan,45,Better Denver,NA,NA,NA,Canvas,Online expense,1811 S Quebec Way #9,NA,Denver,CO,'80231',No,No,No,NA,NA,NA
5/14/2019,2019,NA,NA,Dayven Martinez,135,Better Denver,NA,NA,NA,Canvas,Online expense,7601 Acoma Ct,NA,Denver,CO,'80221',No,No,No,NA,NA,NA
5/13/2019,2019,NA,NA,Marta Tomtas,60,Better Denver,NA,NA,NA,Canvas,Online expense,1811 S Quebec Way #9,NA,Denver,CO,'80231',No,No,No,NA,NA,NA
5/13/2019,2019,NA,NA,Marta Tomtas,45,Better Denver,NA,NA,NA,Canvas,Online expense,1811 S Quebec Way #9,NA,Denver,CO,'80231',No,No,No,NA,NA,NA
5/11/2019,2019,NA,NA,"Sean Walsh Consulting, Inc.",7500,Kendra Black for District 4 City Council,City Council,4,NA,Campaign strategist,Staffing,1065 Emerson St. #B,NA,Denver,CO,'80218',No,No,No,Kendra Black,NA,NA
5/10/2019,2019,NA,NA,Demetrius Martinez,52.5,Better Denver,NA,NA,NA,Canvas,Online expense,7601 Acoma Ct,NA,Denver,CO,'80221',No,No,No,NA,NA,NA
5/10/2019,2019,NA,NA,Matthew Riffe,292.5,Better Denver,NA,NA,NA,Canvas,Online expense,1170 Ash St,NA,Denver,CO,'80220',No,No,No,NA,NA,NA
5/10/2019,2019,NA,NA,Matthew Riffe,30,Better Denver,NA,NA,NA,Canvas,Online expense,1170 Ash St,NA,Denver,CO,'80220',No,No,No,NA,NA,NA
5/10/2019,2019,NA,NA,George Martinez,157.5,Better Denver,NA,NA,NA,Canvas,Online expense,7601 Acoma Ct,NA,Denver,CO,'80221',No,No,No,NA,NA,NA
5/10/2019,2019,NA,NA,Dylan Martinez,135,Better Denver,NA,NA,NA,Canvas,Online expense,7601 Acoma Ct,NA,Denver,CO,'80221',No,No,No,NA,NA,NA
5/10/2019,2019,NA,NA,Danae Martinez,52.5,Better Denver,NA,NA,NA,Canvas,Online expense,7601 Acoma Ct,NA,Denver,CO,'80221',No,No,No,NA,NA,NA
5/10/2019,2019,NA,NA,USPS,9,Susman for City Council,City Council,5,NA,PO Box key,Supplies,8275 E 11th Ave,NA,Denver,CO,'80220',No,No,No,Mary Beth Susman,NA,NA
5/9/2019,2019,NA,NA,Twilio,60.06,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,3280 Peachtree Rd 7thFl,NA,Atlanta,GA,'30305',No,No,No,Lisa  Calderón,NA,NA
5/9/2019,2019,NA,NA,Hertz,76.44,Lisa For Denver Mayor,Mayor,NA,NA,field needs,Staffing,2001 Welton St,NA,Denver,CO,'80205',No,No,No,Lisa  Calderón,NA,NA
5/9/2019,2019,NA,NA,Hilary Hunt,135,Better Denver,NA,NA,NA,Canvas,Online expense,1837 W 102nd Ave,NA,Thornton,CO,'80260',No,No,No,NA,NA,NA
5/8/2019,2019,NA,NA,Twilio,90.06,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,3280 Peachtree Rd 7thFl,NA,Atlanta,GA,'30305',No,No,No,Lisa  Calderón,NA,NA
5/8/2019,2019,NA,NA,Community Language Cooperative,100,Lisa For Denver Mayor,Mayor,NA,NA,translation,Staffing,2525 W Alameda Ave,NA,Denver,CO,'80219',No,No,No,Lisa  Calderón,NA,NA
5/7/2019,2019,NA,NA,King Soopers,34.56,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,4600 Leetsdale Dr,NA,Denver,CO,'80246',No,No,No,Lisa  Calderón,NA,NA
5/7/2019,2019,NA,NA,Avenue Grill,523.01,Mendez for Denver,City Council,10,NA,Election Night Dinner with Campaign Team,Event,630 E 17th Ave,NA,Denver,CO,'80203',No,No,No,Antonio Mendez,NA,NA
5/7/2019,2019,NA,NA,Will Carman,700,Kalyn 4 Mayor,Mayor,NA,NA,Ramp Materials & Labor,Supplies,970 Irving St,NA,Denver,CO,'80204',No,No,No,Kalyn Heffernan,NA,NA
5/6/2019,2019,NA,NA,C&D Printning Inc.,404.97,Friends of Patrick Thibault,City Council,8,NA,Campaign Materials,Supplies,5351 Tennyson St #1c,NA,Denver,CO,'80212',No,No,No,Patrick Thibault,NA,NA
5/6/2019,2019,NA,NA,Loaf N Jug (King Soopers),30.55,Colleen 4 Denver,City Council,4,NA,Gas,Travel,2750 S. Colorado Blvd.,NA,Denver,CO,'80222',No,No,No,Colleen Zahradnicek,NA,NA
5/6/2019,2019,NA,NA,7Eleven,37.32,Denver Psilocybin Initiative,NA,NA,NA,Gas,Travel,7355 Ralston Rd Unit R100,NA,Arvada,CO,'80002',No,No,No,NA,NA,NA
5/6/2019,2019,NA,NA,California Wrap Runner,12.48,Denver Psilocybin Initiative,NA,NA,NA,Dinner,Event,12348 E Montview Blvd,NA,Denver,CO,'80045',No,No,No,NA,NA,NA
5/6/2019,2019,NA,NA,Conoco SEI 29420,20,Kalyn 4 Mayor,Mayor,NA,NA,Fuel,Travel,1301 W 38th Ave,NA,Denver,CO,'80211',No,No,No,Kalyn Heffernan,NA,NA
5/6/2019,2019,NA,NA,Colorado Republican Comittee,35,Denver County Republican Central Committee PAC,NA,NA,NA,Insurance,Insurance,"5950 S. Willow Drive, Suite 210",NA,Greenwood Village,CO,'80111',No,No,No,NA,NA,NA
5/6/2019,2019,NA,NA,King Soopers,15.27,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,4600 Leetsdale Dr,NA,Denver,CO,'80246',No,No,No,Lisa  Calderón,NA,NA
5/6/2019,2019,NA,NA,Izzios Central Bakery,25.83,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,2669 Larimer St,NA,Denver,CO,'80205',No,No,No,Lisa  Calderón,NA,NA
5/6/2019,2019,NA,NA,Paradise,10,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,Denver,NA,Denver,CO,'80239',No,No,No,Lisa  Calderón,NA,NA
5/6/2019,2019,NA,NA,Denver Parking,1.75,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,Main,NA,Denver,CO,'80239',No,No,No,Lisa  Calderón,NA,NA
5/6/2019,2019,NA,NA,NGP VAN Everyaction,550,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,1445 New York Ave NW #200,NA,Washington,DC,'20005',No,No,No,Lisa  Calderón,NA,NA
5/6/2019,2019,NA,NA,Twilio,138.96,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,3280 Peachtree Rd 7thFl,NA,Atlanta,GA,'30305',No,No,No,Lisa  Calderón,NA,NA
5/6/2019,2019,NA,NA,Twilio,30.02,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,3280 Peachtree Rd 7thFl,NA,Atlanta,GA,'30305',No,No,No,Lisa  Calderón,NA,NA
5/5/2019,2019,NA,NA,Twilio,30.14,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Needs,Unitemized Expenditure,3280 Peachtree Rd 7thFl,NA,Atlanta,GA,'30305',No,No,No,Lisa  Calderón,NA,NA
5/5/2019,2019,NA,NA,Hertz,108.12,Lisa For Denver Mayor,Mayor,NA,NA,field needs,Staffing,2001 Welton St,NA,Denver,CO,'80205',No,No,No,Lisa  Calderón,NA,NA
5/4/2019,2019,NA,NA,Shell Service Station,36.43,Annie for Denver District 3,City Council,3,NA,Gas,Travel,1300 W. Colfax Avenue,NA,Denver,CO,'80204',No,No,No,Annamarie Martinez,NA,NA
5/3/2019,2019,NA,NA,Punch Bowl Social,32,Denver Psilocybin Initiative,NA,NA,NA,Dinner,Event,65 Broadway,NA,Denver,CO,'80203',No,No,No,NA,NA,NA
5/3/2019,2019,NA,NA,Punch Bowl Social,8,Denver Psilocybin Initiative,NA,NA,NA,Dinner,Event,65 Broadway,NA,Denver,CO,'80203',No,No,No,NA,NA,NA
